postcode,population_2011,population_2022,population_2023,population_2024
N1   9,6561,7028,7086,7184
N10  1,8657,9273,9350,9479
N10  2,9844,10545,10632,10779
N10  3,9491,10167,10250,10393
N11  1,9710,10401,10487,10632
N11  2,10723,11486,11581,11742
N11  3,9446,10119,10202,10343
N12  0,8407,9006,9080,9206
N12  7,5717,6124,6174,6260
N12  8,7771,8324,8393,8509
N12  9,7003,7502,7563,7668
N13  4,12771,13680,13793,13984
N13  5,12979,13903,14017,14212
N13  6,6033,6463,6516,6606
N14  4,10824,11595,11690,11852
N14  5,6217,6660,6714,6808
N14  6,7009,7508,7570,7675
N14  7,5906,6327,6378,6467
N15  3,10606,11361,11454,11614
N15  4,10314,11048,11139,11294
N15  5,9828,10528,10614,10762
N15  6,12970,13893,14008,14202
N16  0,8675,9293,9369,9499
N16  5,15922,17056,17196,17435
N16  6,15262,16349,16483,16712
N16  7,11143,11936,12034,12202
N16  8,11466,12282,12383,12555
N16  9,6099,6533,6587,6678
N17  0,10984,11766,11863,12027
N17  6,20703,22177,22359,22670
N17  7,10251,10981,11071,11225
N17  8,8006,8576,8646,8767
N17  9,13594,14562,14682,14885
N18  1,15726,16846,16984,17220
N18  2,16016,17156,17297,17538
N19  3,12727,13633,13745,13936
N19  4,10590,11344,11437,11596
N19  5,10435,11178,11270,11426
N2   0,10187,10912,11002,11155
N2   8,6122,6558,6612,6704
N2   9,7659,8204,8272,8387
N20  0,10831,11602,11697,11860
N20  8,4217,4517,4554,4618
N20  9,3976,4259,4294,4354
N21  1,8710,9330,9407,9537
N21  2,6976,7473,7534,7639
N21  3,7814,8370,8439,8556
N22  5,13898,14888,15010,15218
N22  6,12558,13452,13563,13751
N22  7,7164,7674,7737,7845
N22  8,9231,9888,9969,10108
N3   1,9294,9956,10038,10177
N3   2,9303,9965,10047,10187
N3   3,7937,8502,8572,8691
N4   1,12671,13573,13685,13875
N4   2,15947,17082,17223,17462
N4   3,11549,12371,12473,12646
N4   4,7124,7631,7694,7801
N5   1,12004,12859,12964,13144
N5   2,12283,13158,13266,13450
N6   4,5160,5527,5573,5650
N6   5,10978,11760,11856,12021
N6   6,3336,3574,3603,3653
N7   0,13129,14064,14179,14376
N7   6,6788,7271,7331,7433
N7   7,7154,7663,7726,7834
N7   8,11553,12376,12477,12651
N7   9,9533,10212,10296,10439
N8   0,11252,12053,12152,12321
N8   7,9873,10576,10663,10811
N8   8,8604,9217,9292,9421
N8   9,10308,11042,11133,11287
N9   0,12205,13074,13181,13364
N9   7,10129,10850,10939,11091
N9   8,12656,13557,13668,13858
N9   9,17203,18428,18579,18837
NE1  2,3077,3296,3323,3369
NE1  3,621,665,671,680
NE1  4,1966,2106,2123,2153
NE1  5,1053,1128,1137,1153
NE1  6,1341,1436,1448,1468
NE1  8,993,1064,1072,1087
NE10 0,8892,9525,9603,9737
NE10 8,17836,19106,19263,19530
NE10 9,9493,10169,10252,10395
NE11 0,4185,4483,4520,4583
NE11 9,12274,13148,13256,13440
NE12 5,1914,2050,2067,2096
NE12 6,8685,9303,9380,9510
NE12 7,5005,5361,5405,5480
NE12 8,9991,10702,10790,10940
NE12 9,9501,10177,10261,10404
NE13 6,5547,5942,5991,6074
NE13 7,5294,5671,5718,5797
NE13 8,1069,1145,1155,1171
NE13 9,941,1008,1016,1030
NE15 0,2347,2514,2535,2570
NE15 6,5961,6385,6438,6527
NE15 7,9328,9992,10074,10214
NE15 8,8829,9458,9535,9668
NE15 9,6226,6669,6724,6817
NE16 3,3335,3572,3602,3652
NE16 4,6424,6881,6938,7034
NE16 5,10913,11690,11786,11950
NE16 6,5002,5358,5402,5477
NE17 7,4669,5001,5043,5113
NE18 0,927,993,1001,1015
NE19 1,1240,1328,1339,1358
NE19 2,1033,1107,1116,1131
NE2  1,9878,10581,10668,10816
NE2  2,7321,7842,7907,8016
NE2  3,7198,7710,7774,7882
NE2  4,5132,5497,5543,5620
NE20 0,1426,1528,1540,1561
NE20 9,10447,11191,11283,11439
NE21 4,5620,6020,6070,6154
NE21 5,5350,5731,5778,5858
NE21 6,6306,6755,6810,6905
NE22 5,8937,9573,9652,9786
NE22 6,5657,6060,6110,6194
NE22 7,3290,3524,3553,3603
NE23 1,3745,4012,4045,4101
NE23 2,5826,6241,6292,6379
NE23 3,5710,6117,6167,6252
NE23 6,10745,11510,11605,11766
NE23 7,10580,11333,11426,11585
NE23 8,2627,2814,2837,2877
NE24 1,3565,3819,3850,3904
NE24 2,6252,6697,6752,6846
NE24 3,11064,11852,11949,12115
NE24 4,7700,8248,8316,8432
NE24 5,9495,10171,10255,10397
NE25 0,9350,10016,10098,10238
NE25 8,9169,9822,9903,10040
NE25 9,11289,12093,12192,12361
NE26 1,5264,5639,5685,5764
NE26 2,4523,4845,4885,4953
NE26 3,5275,5651,5697,5776
NE26 4,4264,4568,4605,4669
NE27 0,12024,12880,12986,13166
NE28 0,8701,9321,9397,9528
NE28 6,5201,5571,5617,5695
NE28 7,8007,8577,8648,8768
NE28 8,9635,10321,10406,10550
NE28 9,13205,14145,14261,14459
NE29 0,6582,7051,7109,7207
NE29 6,7712,8261,8329,8445
NE29 7,8361,8956,9030,9155
NE29 8,8812,9439,9517,9649
NE29 9,4146,4441,4478,4540
NE3  1,9084,9731,9811,9947
NE3  2,13842,14828,14949,15157
NE3  3,11578,12402,12504,12678
NE3  4,10550,11301,11394,11552
NE3  5,7996,8565,8636,8756
NE30 1,1317,1411,1422,1442
NE30 2,7761,8314,8382,8498
NE30 3,8303,8894,8967,9092
NE30 4,4952,5305,5348,5422
NE31 1,10260,10991,11081,11235
NE31 2,9870,10573,10660,10808
NE32 3,5327,5706,5753,5833
NE32 4,10419,11161,11253,11409
NE32 5,9643,10330,10414,10559
NE33 1,1316,1410,1421,1441
NE33 2,6229,6673,6727,6821
NE33 3,7866,8426,8495,8613
NE33 4,7324,7845,7910,8020
NE33 5,4334,4643,4681,4746
NE34 0,10653,11411,11505,11665
NE34 6,9264,9924,10005,10144
NE34 7,11667,12498,12600,12775
NE34 8,10126,10847,10936,11088
NE34 9,10769,11536,11631,11792
NE35 9,6428,6886,6942,7039
NE36 0,6854,7342,7402,7505
NE37 1,9759,10454,10540,10686
NE37 2,7202,7715,7778,7886
NE37 3,4095,4387,4423,4484
NE38 0,9145,9796,9877,10014
NE38 7,9000,9641,9720,9855
NE38 8,7820,8377,8446,8563
NE38 9,5136,5502,5547,5624
NE39 1,3968,4251,4285,4345
NE39 2,4607,4935,4976,5045
NE4  5,7963,8530,8600,8719
NE4  6,7247,7763,7827,7935
NE4  7,2452,2627,2648,2685
NE4  8,7753,8305,8373,8490
NE4  9,12022,12878,12984,13164
NE40 3,7629,8172,8239,8354
NE40 4,8006,8576,8646,8767
NE41 8,2197,2353,2373,2406
NE42 5,6974,7471,7532,7637
NE42 6,5633,6034,6084,6168
NE43 7,4523,4845,4885,4953
NE44 6,966,1035,1043,1058
NE45 5,3672,3933,3966,4021
NE46 1,4198,4497,4534,4597
NE46 2,4459,4776,4816,4883
NE46 3,3510,3760,3791,3843
NE46 4,3370,3610,3640,3690
NE47 0,1070,1146,1156,1172
NE47 5,906,971,978,992
NE47 6,2184,2340,2359,2391
NE47 7,1214,1300,1311,1329
NE47 8,522,559,564,572
NE47 9,2021,2165,2183,2213
NE48 1,764,818,825,837
NE48 2,1852,1984,2000,2028
NE48 3,1105,1184,1193,1210
NE48 4,573,614,619,627
NE49 0,1085,1162,1172,1188
NE49 9,3259,3491,3520,3569
NE5  1,8712,9332,9409,9540
NE5  2,14247,15261,15387,15600
NE5  3,10188,10913,11003,11156
NE5  4,8841,9470,9548,9681
NE5  5,7115,7622,7684,7791
NE6  1,3214,3443,3471,3519
NE6  2,11558,12381,12483,12656
NE6  3,8348,8942,9016,9141
NE6  4,11940,12790,12895,13074
NE6  5,15967,17104,17244,17484
NE61 1,4134,4428,4465,4527
NE61 2,8928,9564,9642,9776
NE61 3,3853,4127,4161,4219
NE61 4,1260,1350,1361,1380
NE61 5,8080,8655,8726,8848
NE61 6,5014,5371,5415,5490
NE62 5,9636,10322,10407,10551
NE63 0,8147,8727,8799,8921
NE63 8,8490,9094,9169,9297
NE63 9,11152,11946,12044,12211
NE64 6,6308,6757,6813,6907
NE65 0,7878,8439,8508,8626
NE65 7,3889,4166,4200,4258
NE65 8,2141,2293,2312,2344
NE65 9,6856,7344,7404,7507
NE66 1,6766,7248,7307,7409
NE66 2,4244,4546,4584,4647
NE66 3,4720,5056,5098,5168
NE66 4,1522,1630,1644,1667
NE66 5,338,362,365,370
NE67 5,834,893,901,913
NE68 7,1959,2098,2116,2145
NE69 7,414,443,447,453
NE7  7,15468,16569,16705,16937
NE70 7,1754,1879,1894,1921
NE71 6,2949,3159,3185,3229
NE8  1,5856,6273,6324,6412
NE8  2,7164,7674,7737,7845
NE8  3,8285,8875,8948,9072
NE8  4,12125,12988,13095,13277
NE9  5,10263,10994,11084,11238
NE9  6,15719,16838,16977,17212
NE9  7,11526,12347,12448,12621
NG1  1,3786,4056,4089,4146
NG1  3,2603,2788,2811,2850
NG1  4,3940,4221,4255,4314
NG1  5,1795,1923,1939,1966
NG1  6,281,301,303,308
NG1  7,492,527,531,539
NG10 1,7938,8503,8573,8692
NG10 2,4613,4941,4982,5051
NG10 3,14380,15404,15530,15746
NG10 4,10829,11600,11695,11858
NG10 5,8889,9522,9600,9733
NG11 0,2431,2604,2625,2662
NG11 6,8233,8819,8892,9015
NG11 7,4428,4743,4782,4849
NG11 8,13340,14290,14407,14607
NG11 9,9067,9713,9792,9928
NG12 1,2527,2707,2729,2767
NG12 2,6537,7002,7060,7158
NG12 3,10862,11635,11731,11894
NG12 4,4857,5203,5246,5318
NG12 5,8382,8979,9053,9178
NG13 0,4508,4829,4869,4936
NG13 8,11712,12546,12649,12825
NG13 9,5164,5532,5577,5655
NG14 5,3922,4201,4236,4295
NG14 6,9537,10216,10300,10443
NG14 7,5980,6406,6458,6548
NG15 0,2076,2224,2242,2273
NG15 6,14763,15814,15944,16165
NG15 7,12829,13742,13855,14048
NG15 8,5271,5646,5693,5772
NG15 9,5759,6169,6220,6306
NG16 1,9349,10015,10097,10237
NG16 2,16473,17646,17791,18038
NG16 3,10812,11582,11677,11839
NG16 4,5405,5790,5837,5918
NG16 5,10047,10762,10851,11001
NG16 6,11465,12281,12382,12554
NG17 1,6439,6897,6954,7051
NG17 2,14585,15623,15752,15971
NG17 3,8900,9534,9612,9746
NG17 4,9768,10463,10549,10696
NG17 5,6475,6936,6993,7090
NG17 7,9204,9859,9940,10078
NG17 8,11236,12036,12135,12303
NG17 9,6179,6619,6673,6766
NG18 1,1438,1540,1553,1575
NG18 2,7952,8518,8588,8707
NG18 3,11644,12473,12576,12750
NG18 4,12656,13557,13668,13858
NG18 5,7836,8394,8463,8580
NG19 0,11328,12135,12234,12404
NG19 6,11773,12611,12715,12891
NG19 7,9163,9815,9896,10033
NG19 8,10182,10907,10997,11149
NG19 9,9830,10530,10616,10764
NG2  1,2255,2416,2435,2469
NG2  2,6140,6577,6631,6723
NG2  3,1789,1916,1932,1959
NG2  4,10318,11053,11143,11298
NG2  5,9159,9811,9892,10029
NG2  6,12428,13313,13422,13609
NG2  7,16520,17696,17842,18089
NG20 0,9264,9924,10005,10144
NG20 8,9976,10686,10774,10924
NG20 9,6950,7445,7506,7610
NG21 0,12150,13015,13122,13304
NG21 9,10031,10745,10833,10984
NG22 0,6804,7288,7348,7450
NG22 8,7649,8194,8261,8376
NG22 9,11840,12683,12787,12965
NG23 5,7164,7674,7737,7845
NG23 6,5345,5726,5773,5853
NG23 7,4736,5073,5115,5186
NG24 1,6771,7253,7313,7414
NG24 2,10382,11121,11213,11368
NG24 3,13627,14597,14717,14922
NG24 4,14025,15024,15147,15357
NG25 0,8913,9548,9626,9760
NG3  1,4721,5057,5099,5169
NG3  2,4736,5073,5115,5186
NG3  3,7058,7561,7623,7729
NG3  4,4123,4417,4453,4515
NG3  5,9332,9996,10079,10219
NG3  6,10910,11687,11783,11946
NG3  7,7308,7828,7893,8002
NG31 6,3510,3760,3791,3843
NG31 7,13714,14690,14811,15017
NG31 8,13855,14841,14963,15171
NG31 9,13262,14206,14323,14522
NG32 1,4215,4515,4552,4615
NG32 2,3505,3755,3785,3838
NG32 3,4708,5043,5085,5155
NG33 4,4789,5130,5172,5244
NG33 5,5070,5431,5476,5552
NG34 0,5926,6348,6400,6489
NG34 7,12895,13813,13927,14120
NG34 8,11199,11996,12095,12263
NG34 9,11182,11978,12077,12244
NG4  1,12868,13784,13897,14090
NG4  2,8671,9288,9365,9495
NG4  3,10491,11238,11330,11488
NG4  4,8805,9432,9509,9641
NG5  1,9262,9921,10003,10142
NG5  2,5919,6340,6393,6481
NG5  3,5612,6012,6061,6145
NG5  4,9505,10182,10265,10408
NG5  5,16756,17949,18096,18348
NG5  6,12113,12975,13082,13264
NG5  7,7272,7790,7854,7963
NG5  8,11789,12628,12732,12909
NG5  9,9327,9991,10073,10213
NG6  0,8889,9522,9600,9733
NG6  7,4600,4928,4968,5037
NG6  8,15552,16659,16796,17029
NG6  9,8444,9045,9120,9246
NG7  1,11780,12619,12722,12899
NG7  2,13506,14468,14586,14789
NG7  3,6924,7417,7478,7582
NG7  4,5005,5361,5405,5480
NG7  5,7846,8405,8474,8591
NG7  6,8848,9478,9556,9689
NG7  7,4103,4395,4431,4493
NG8  1,9746,10440,10526,10672
NG8  2,11094,11884,11982,12148
NG8  3,9804,10502,10588,10735
NG8  4,8152,8732,8804,8926
NG8  5,13255,14199,14315,14514
NG8  6,11910,12758,12863,13041
NG9  1,10052,10768,10856,11007
NG9  2,13412,14367,14485,14686
NG9  3,11156,11950,12048,12216
NG9  4,5785,6197,6248,6335
NG9  5,8186,8769,8841,8964
NG9  6,9381,10049,10131,10272
NG9  7,6003,6430,6483,6573
NG9  8,9238,9896,9977,10116
NN1  1,1701,1822,1837,1863
NN1  2,3140,3364,3391,3438
NN1  3,6228,6671,6726,6820
NN1  4,10540,11290,11383,11541
NN1  5,8225,8811,8883,9006
NN10 0,13451,14409,14527,14729
NN10 6,5632,6033,6083,6167
NN10 8,8083,8659,8730,8851
NN10 9,11065,11853,11950,12116
NN11 0,5373,5756,5803,5883
NN11 2,1313,1406,1418,1438
NN11 3,6290,6738,6793,6888
NN11 4,11581,12406,12507,12681
NN11 6,3054,3271,3298,3344
NN11 7,1759,1884,1900,1926
NN11 8,1488,1594,1607,1629
NN11 9,6584,7053,7111,7209
NN12 6,7603,8144,8211,8325
NN12 7,6189,6630,6684,6777
NN12 8,9235,9893,9974,10112
NN13 5,5528,5922,5970,6053
NN13 6,10250,10980,11070,11224
NN13 7,2950,3160,3186,3230
NN14 1,10009,10722,10810,10960
NN14 2,10697,11459,11553,11713
NN14 3,4349,4659,4697,4762
NN14 4,10520,11269,11362,11519
NN14 6,7694,8242,8310,8425
NN15 5,14736,15785,15915,16136
NN15 6,13282,14228,14345,14544
NN15 7,5947,6370,6423,6512
NN16 0,7566,8105,8171,8285
NN16 8,7921,8485,8555,8673
NN16 9,14656,15700,15828,16048
NN17 1,9666,10354,10439,10584
NN17 2,12295,13170,13279,13463
NN17 3,4163,4459,4496,4558
NN17 4,585,627,632,641
NN18 0,8803,9430,9507,9639
NN18 8,14719,15767,15897,16117
NN18 9,9389,10057,10140,10281
NN2  6,9413,10083,10166,10307
NN2  7,14586,15625,15753,15972
NN2  8,14140,15147,15271,15483
NN29 7,11520,12340,12442,12614
NN3  2,11653,12483,12585,12760
NN3  3,9133,9783,9864,10001
NN3  5,9237,9895,9976,10115
NN3  6,6916,7408,7469,7573
NN3  7,5931,6353,6405,6494
NN3  8,16057,17200,17342,17582
NN3  9,9659,10347,10432,10577
NN4  0,10706,11468,11562,11723
NN4  5,4404,4718,4756,4822
NN4  6,10674,11434,11528,11688
NN4  7,642,688,693,703
NN4  8,14515,15548,15676,15894
NN4  9,5773,6184,6235,6321
NN5  4,4252,4555,4592,4656
NN5  5,7086,7591,7653,7759
NN5  6,15997,17136,17277,17517
NN5  7,10715,11478,11572,11733
NN6  0,7859,8419,8488,8606
NN6  6,3043,3260,3286,3332
NN6  7,7837,8395,8464,8582
NN6  8,5329,5708,5755,5835
NN6  9,9256,9915,9996,10135
NN7  1,4644,4975,5016,5085
NN7  2,6678,7153,7212,7312
NN7  3,7891,8453,8522,8641
NN7  4,8086,8662,8733,8854
NN8  1,7082,7586,7649,7755
NN8  2,11325,12131,12231,12401
NN8  3,12439,13325,13434,13621
NN8  4,10554,11305,11398,11557
NN8  5,7647,8191,8259,8373
NN9  5,14887,15947,16078,16301
NN9  6,11390,12201,12301,12472
NR1  1,4788,5129,5171,5243
NR1  2,8023,8594,8665,8785
NR1  3,4305,4612,4649,4714
NR1  4,7675,8221,8289,8404
NR10 3,10594,11348,11442,11600
NR10 4,5573,5970,6019,6102
NR10 5,6645,7118,7177,7276
NR11 6,7772,8325,8394,8510
NR11 7,2976,3188,3214,3259
NR11 8,6933,7427,7488,7592
NR12 0,4503,4824,4863,4931
NR12 7,3427,3671,3701,3753
NR12 8,6715,7193,7252,7353
NR12 9,5790,6202,6253,6340
NR13 3,6802,7286,7346,7448
NR13 4,6925,7418,7479,7583
NR13 5,7558,8096,8163,8276
NR13 6,5404,5789,5836,5917
NR14 6,7305,7825,7889,7999
NR14 7,8272,8861,8934,9058
NR14 8,8170,8752,8824,8946
NR15 1,6850,7338,7398,7501
NR15 2,8956,9594,9672,9807
NR16 1,5532,5926,5975,6058
NR16 2,6421,6878,6935,7031
NR17 1,7062,7565,7627,7733
NR17 2,8710,9330,9407,9537
NR18 0,12223,13093,13201,13384
NR18 9,5333,5713,5760,5840
NR19 1,11053,11840,11937,12103
NR19 2,9306,9969,10050,10190
NR2  1,1114,1193,1203,1220
NR2  2,6762,7243,7303,7404
NR2  3,12032,12889,12995,13175
NR2  4,6043,6473,6526,6617
NR20 3,7439,7969,8034,8146
NR20 4,6941,7435,7496,7600
NR20 5,4951,5304,5347,5421
NR21 0,3250,3481,3510,3559
NR21 7,3295,3530,3559,3608
NR21 8,5164,5532,5577,5655
NR21 9,4106,4398,4434,4496
NR22 6,819,877,885,897
NR23 1,3009,3223,3250,3295
NR24 2,4462,4780,4819,4886
NR25 6,5511,5903,5952,6035
NR25 7,3367,3607,3636,3687
NR26 8,8299,8890,8963,9087
NR27 0,5250,5624,5670,5749
NR27 9,6483,6945,7002,7099
NR28 0,9282,9943,10025,10164
NR28 9,8250,8837,8910,9034
NR29 3,6914,7406,7467,7571
NR29 4,8411,9010,9084,9210
NR29 5,4599,4926,4967,5036
NR3  1,4742,5080,5121,5192
NR3  2,8834,9463,9541,9673
NR3  3,10413,11154,11246,11402
NR3  4,8982,9622,9701,9835
NR30 1,4431,4746,4785,4852
NR30 2,5565,5961,6010,6094
NR30 3,4419,4734,4773,4839
NR30 4,7210,7723,7787,7895
NR30 5,9076,9722,9802,9938
NR31 0,7144,7653,7716,7823
NR31 6,8799,9425,9503,9635
NR31 7,11015,11799,11896,12061
NR31 8,13107,14040,14156,14352
NR31 9,9849,10550,10637,10785
NR32 1,3922,4201,4236,4295
NR32 2,9238,9896,9977,10116
NR32 3,8222,8807,8880,9003
NR32 4,13267,14212,14328,14527
NR32 5,4008,4293,4329,4389
NR33 0,8315,8907,8980,9105
NR33 7,9176,9829,9910,10048
NR33 8,13572,14538,14658,14861
NR33 9,8404,9002,9076,9202
NR34 0,2235,2394,2414,2447
NR34 7,7729,8279,8347,8463
NR34 8,3002,3216,3242,3287
NR34 9,9303,9965,10047,10187
NR35 1,5723,6130,6181,6267
NR35 2,5171,5539,5585,5662
NR4  6,8885,9518,9596,9729
NR4  7,12637,13537,13648,13838
NR5  0,8438,9039,9113,9240
NR5  8,12837,13751,13864,14057
NR5  9,8013,8584,8654,8774
NR6  5,7104,7610,7672,7779
NR6  6,7506,8040,8106,8219
NR6  7,9298,9960,10042,10181
NR7  0,13532,14495,14615,14818
NR7  8,11040,11826,11923,12089
NR7  9,7239,7754,7818,7927
NR8  5,4605,4933,4973,5042
NR8  6,15881,17012,17151,17390
NR9  3,7346,7869,7934,8044
NR9  4,4677,5010,5051,5121
NR9  5,4822,5165,5208,5280
NW1  0,6902,7393,7454,7558
NW1  1,7612,8154,8221,8335
NW1  2,1874,2007,2024,2052
NW1  3,6985,7482,7544,7649
NW1  4,3045,3262,3289,3334
NW1  5,3068,3286,3313,3359
NW1  6,5546,5941,5990,6073
NW1  7,6486,6948,7005,7102
NW1  8,8474,9077,9152,9279
NW1  9,10347,11084,11175,11330
NW10 0,11063,11851,11948,12114
NW10 1,10006,10718,10806,10957
NW10 2,9068,9714,9793,9929
NW10 3,8483,9087,9162,9289
NW10 4,10100,10819,10908,11060
NW10 5,13687,14662,14782,14987
NW10 6,2729,2923,2947,2988
NW10 7,3606,3863,3894,3949
NW10 8,13236,14178,14295,14493
NW10 9,10019,10732,10821,10971
NW11 0,6691,7167,7226,7327
NW11 6,6367,6820,6876,6972
NW11 7,5285,5661,5708,5787
NW11 8,6889,7379,7440,7543
NW11 9,7452,7983,8048,8160
NW2  1,8799,9425,9503,9635
NW2  2,7460,7991,8057,8169
NW2  3,10316,11050,11141,11296
NW2  4,7841,8399,8468,8586
NW2  5,10054,10770,10858,11009
NW2  6,11527,12348,12449,12622
NW2  7,10971,11752,11849,12013
NW3  1,5050,5410,5454,5530
NW3  2,12990,13915,14029,14224
NW3  3,8166,8747,8819,8942
NW3  4,8626,9240,9316,9445
NW3  5,5388,5772,5819,5900
NW3  6,6067,6499,6552,6643
NW3  7,5604,6003,6052,6136
NW4  1,6515,6979,7036,7134
NW4  2,8335,8928,9002,9127
NW4  3,9180,9834,9914,10052
NW4  4,7902,8465,8534,8653
NW5  1,8703,9323,9399,9530
NW5  2,9675,10364,10449,10594
NW5  3,3842,4116,4149,4207
NW5  4,8905,9539,9617,9751
NW6  1,10868,11642,11737,11900
NW6  2,6295,6743,6799,6893
NW6  3,7403,7930,7995,8106
NW6  4,7181,7692,7755,7863
NW6  5,10843,11615,11710,11873
NW6  6,8575,9186,9261,9390
NW6  7,12738,13645,13757,13948
NW7  1,6383,6837,6894,6989
NW7  2,7478,8010,8076,8188
NW7  3,6211,6653,6708,6801
NW7  4,5598,5997,6046,6130
NW8  0,7591,8131,8198,8312
NW8  6,4270,4574,4612,4676
NW8  7,5147,5513,5559,5636
NW8  8,10635,11392,11486,11645
NW8  9,6710,7188,7247,7347
NW9  0,10434,11177,11269,11425
NW9  5,16169,17320,17463,17705
NW9  6,7588,8128,8195,8309
NW9  7,6393,6848,6904,7000
NW9  8,10019,10732,10821,10971
NW9  9,9942,10650,10737,10886
OL1  2,8465,9068,9142,9269
OL1  3,3686,3948,3981,4036
OL1  4,9329,9993,10075,10215
OL10 1,3418,3661,3691,3743
OL10 2,7205,7718,7781,7889
OL10 3,7947,8513,8583,8702
OL10 4,9224,9881,9962,10100
OL11 1,6705,7182,7241,7342
OL11 2,10601,11356,11449,11608
OL11 3,9313,9976,10058,10198
OL11 4,7025,7525,7587,7692
OL11 5,12168,13034,13141,13324
OL12 0,5407,5792,5840,5921
OL12 6,12152,13017,13124,13306
OL12 7,9936,10643,10731,10880
OL12 8,7500,8034,8100,8212
OL12 9,10672,11432,11526,11686
OL13 0,3834,4107,4141,4198
OL13 8,4440,4756,4795,4862
OL13 9,6825,7311,7371,7473
OL14 5,4630,4960,5000,5070
OL14 6,3619,3877,3909,3963
OL14 7,3073,3292,3319,3365
OL14 8,4159,4455,4492,4554
OL15 0,3973,4256,4291,4350
OL15 8,5463,5852,5900,5982
OL15 9,5025,5383,5427,5502
OL16 1,445,477,481,487
OL16 2,10772,11539,11634,11795
OL16 3,8462,9064,9139,9266
OL16 4,11684,12516,12619,12794
OL16 5,6462,6922,6979,7076
OL2  5,10587,11341,11434,11593
OL2  6,12735,13642,13754,13945
OL2  7,10234,10963,11053,11206
OL2  8,8793,9419,9496,9628
OL3  5,7367,7892,7956,8067
OL3  6,2819,3020,3045,3087
OL3  7,4811,5154,5196,5268
OL4  1,12723,13629,13741,13932
OL4  2,9391,10060,10142,10283
OL4  3,6112,6547,6601,6693
OL4  4,7790,8345,8413,8530
OL4  5,9044,9688,9768,9903
OL5  0,4925,5276,5319,5393
OL5  9,5996,6423,6476,6566
OL6  6,5111,5475,5520,5597
OL6  7,2964,3175,3201,3246
OL6  8,10154,10877,10966,11119
OL6  9,10564,11316,11409,11568
OL7  0,5875,6293,6345,6433
OL7  9,10888,11663,11759,11922
OL8  1,10620,11376,11470,11629
OL8  2,9498,10174,10258,10400
OL8  3,10398,11138,11230,11386
OL8  4,8530,9137,9212,9340
OL9  0,8679,9297,9373,9504
OL9  6,7380,7905,7970,8081
OL9  7,6524,6989,7046,7144
OL9  8,9571,10252,10337,10480
OL9  9,9131,9781,9861,9998
OX1  1,3252,3484,3512,3561
OX1  2,1608,1722,1737,1761
OX1  3,7422,7950,8016,8127
OX1  4,7187,7699,7762,7870
OX1  5,6154,6592,6646,6739
OX10 0,5564,5960,6009,6093
OX10 6,6815,7300,7360,7462
OX10 7,5203,5573,5619,5697
OX10 8,3214,3443,3471,3519
OX10 9,5567,5963,6012,6096
OX11 0,5434,5821,5869,5950
OX11 7,13108,14041,14157,14353
OX11 8,8838,9467,9545,9678
OX11 9,5722,6129,6180,6266
OX12 0,6155,6593,6647,6740
OX12 7,5301,5678,5725,5805
OX12 8,4855,5201,5243,5316
OX12 9,8953,9590,9669,9804
OX13 5,4783,5124,5166,5237
OX13 6,8676,9294,9370,9500
OX14 1,10071,10788,10877,11028
OX14 2,8243,8830,8902,9026
OX14 3,8304,8895,8968,9093
OX14 4,7883,8444,8514,8632
OX14 5,10009,10722,10810,10960
OX15 0,2695,2887,2911,2951
OX15 4,6784,7267,7327,7428
OX15 5,5331,5711,5757,5837
OX15 6,3289,3523,3552,3601
OX16 0,11337,12144,12244,12414
OX16 1,10518,11267,11359,11517
OX16 2,2713,2906,2930,2971
OX16 3,5002,5358,5402,5477
OX16 4,3625,3883,3915,3969
OX16 5,2612,2798,2821,2860
OX16 9,11046,11832,11930,12095
OX17 1,4308,4615,4653,4717
OX17 2,6553,7020,7077,7176
OX17 3,6114,6549,6603,6695
OX18 1,6826,7312,7372,7474
OX18 2,5555,5951,5999,6083
OX18 3,9881,10585,10671,10820
OX18 4,3039,3255,3282,3328
OX2  0,3949,4230,4265,4324
OX2  6,10801,11570,11665,11827
OX2  7,9443,10115,10198,10340
OX2  8,6002,6429,6482,6572
OX2  9,9500,10176,10260,10402
OX20 1,4734,5071,5113,5184
OX25 1,2425,2598,2619,2655
OX25 2,2507,2685,2708,2745
OX25 3,523,560,565,573
OX25 4,1278,1369,1380,1399
OX25 5,1787,1914,1930,1957
OX25 6,1099,1177,1187,1203
OX26 1,850,911,918,931
OX26 2,9155,9807,9887,10025
OX26 3,7014,7513,7575,7680
OX26 4,5846,6262,6314,6401
OX26 5,1204,1290,1300,1318
OX26 6,9425,10096,10179,10320
OX27 0,969,1038,1047,1061
OX27 7,2117,2268,2286,2318
OX27 8,2883,3088,3114,3157
OX27 9,548,587,592,600
OX28 1,7888,8450,8519,8637
OX28 2,854,915,922,935
OX28 3,3087,3307,3334,3380
OX28 4,1601,1715,1729,1753
OX28 5,9222,9879,9960,10098
OX28 6,4870,5217,5260,5333
OX29 0,1409,1509,1522,1543
OX29 4,5398,5782,5830,5911
OX29 5,1337,1432,1444,1464
OX29 6,2454,2629,2650,2687
OX29 7,3607,3864,3896,3950
OX29 8,6485,6947,7004,7101
OX29 9,2370,2539,2560,2595
OX3  0,11150,11944,12042,12209
OX3  7,11364,12173,12273,12444
OX3  8,11994,12848,12954,13133
OX3  9,8929,9565,9643,9777
OX33 1,7623,8166,8233,8347
